2018-06-07,17.0
2018-06-10,5.0
2018-06-14,2.0
2018-06-17,0.0
2018-06-21,8.0
2018-06-24,3.0
2018-06-28,-1.0
2018-07-01,8.0
2018-07-05,10.0
2018-07-08,4.0
2018-07-12,-15.0
2018-07-15,17.0
2018-07-19,-13.0
2018-07-22,-8.0
2018-07-26,12.0
2018-07-29,10.0
2018-08-02,5.0
2018-08-05,5.0
2018-08-09,1.0
2018-08-12,-6.0
2018-08-16,-2.0
2018-08-19,-2.0
2018-08-23,4.0
2018-08-26,-1.0
2018-08-30,1.0
2018-09-02,6.0
2018-09-06,-18.0
2018-09-09,-5.0
2018-09-13,-16.0
2018-09-16,-6.0
2018-09-16,8.0
2018-09-20,7.0
2018-09-23,4.0
2018-09-27,3.0
2018-09-30,-6.0
2018-10-04,-12.0
2018-10-07,1.0
2018-10-11,0.0
2018-10-14,7.0
2018-10-18,6.0
2018-10-21,3.0
2018-10-21,5.0
2018-10-25,4.0
2018-10-28,-12.0
2018-11-01,-15.0
2018-11-04,3.0
2018-11-08,0.0
2018-11-11,8.0
2018-11-15,-6.0
2018-11-18,1.0
2018-11-18,12.0
2018-11-22,0.0
2018-11-25,-5.0
2018-11-29,-4.0
2018-12-02,-15.0
2018-12-02,9.0
2018-12-06,1.0
2018-12-09,8.0
2018-12-13,3.0
2018-12-16,-6.0
2018-12-20,12.0
2018-12-23,5.0
2018-12-31,-17.0
2019-01-06,1.0
2019-01-10,0.0
2019-01-13,14.0
2019-01-17,1.0
2019-01-20,-12.0
2019-01-24,11.0
2019-01-27,-5.0
2019-01-31,-2.0
2019-02-03,12.0
2019-02-07,-9.0
2019-02-10,-14.0
2019-02-14,16.0
2019-02-17,-1.0
2019-02-21,0.0
2019-02-24,-8.0
2019-02-28,3.0
2019-03-03,1.0
2019-03-07,-8.0
2019-03-10,-11.0
2019-03-14,4.0
2019-03-17,-12.0
2019-03-21,0.0
2019-03-24,-2.0
2019-03-28,-1.0
2019-03-31,-14.0
2019-04-04,6.0
2019-04-07,-9.0
