date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2017-01-08,23,21,10,34,27,4,Sunday,23.0,106
2017-01-12,7,22,5,6,44,13,Thursday,16.8,107
2017-01-15,11,40,36,41,5,19,Sunday,26.6,108
2017-01-19,41,43,44,2,15,20,Thursday,29.0,109
2017-01-22,22,29,37,31,5,8,Sunday,24.8,110
2017-01-26,21,7,28,34,23,15,Thursday,22.6,111
2017-01-29,44,10,11,8,17,17,Sunday,18.0,112
2017-02-02,20,31,16,38,15,14,Thursday,24.0,113
2017-02-05,37,14,7,32,41,17,Sunday,26.2,114
2017-02-09,12,21,9,10,33,5,Thursday,17.0,115
2017-02-12,17,10,32,18,20,14,Sunday,19.4,116
2017-02-16,41,10,27,37,20,18,Thursday,27.0,117
2017-02-19,9,12,6,16,3,6,Sunday,9.2,118
2017-02-23,23,10,4,39,13,8,Thursday,17.8,119
2017-02-26,23,45,20,21,26,12,Sunday,27.0,120
2017-03-02,27,30,9,31,16,6,Thursday,22.6,121
2017-03-05,30,26,17,15,34,6,Sunday,24.4,122
2017-03-05,33,4,36,22,17,2,Sunday,22.4,123
2017-03-09,45,30,33,3,5,20,Thursday,23.2,124
2017-03-12,28,4,10,16,23,17,Sunday,16.2,125
2017-03-16,42,34,37,16,39,4,Thursday,33.6,126
2017-03-19,3,21,37,13,19,16,Sunday,18.6,127
2017-03-23,21,6,4,35,30,11,Thursday,19.2,128
2017-03-26,3,38,27,9,24,14,Sunday,20.2,129
2017-03-30,40,28,24,42,39,8,Thursday,34.6,130
2017-04-02,41,31,15,28,18,19,Sunday,26.6,131
2017-04-06,20,28,25,21,43,5,Thursday,27.4,132
2017-04-09,23,17,16,37,28,10,Sunday,24.2,133
2017-04-16,12,31,15,22,41,7,Sunday,24.2,134
2017-04-16,10,9,2,33,31,1,Sunday,17.0,135
2017-04-20,10,40,19,20,34,11,Thursday,24.6,136
2017-04-23,8,15,12,25,30,8,Sunday,18.0,137
2017-04-27,3,5,38,1,10,13,Thursday,11.4,138
2017-04-30,28,31,26,40,4,5,Sunday,25.8,139
2017-05-04,7,20,39,33,18,19,Thursday,23.4,140
2017-05-07,38,33,15,41,23,6,Sunday,30.0,141
2017-05-11,22,21,14,12,3,13,Thursday,14.4,142
2017-05-14,5,37,15,10,16,4,Sunday,16.6,143
2017-05-18,13,19,21,3,17,5,Thursday,14.6,144
2017-05-21,12,18,39,42,19,6,Sunday,26.0,145
2017-05-25,38,20,2,26,16,2,Thursday,20.4,146
2017-05-28,40,14,27,28,34,17,Sunday,28.6,147
2017-06-01,45,31,16,26,20,14,Thursday,27.6,148
2017-06-04,45,31,6,5,15,8,Sunday,20.4,149
2017-06-08,44,34,3,18,26,8,Thursday,25.0,150
2017-06-11,36,33,30,44,26,1,Sunday,33.8,151
2017-06-15,38,5,2,45,35,3,Thursday,25.0,152
2017-06-18,38,25,40,1,37,11,Sunday,28.2,153
2017-06-22,26,40,12,3,19,14,Thursday,20.0,154
2017-06-25,20,2,31,22,40,19,Sunday,23.0,155
2017-06-29,27,35,21,7,14,15,Thursday,20.8,156
2017-07-02,2,45,9,13,15,7,Sunday,16.8,157
