date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2020-08-06,7,32,40,6,25,9,Thursday,22.0,460
2020-08-09,16,25,35,5,42,16,Sunday,24.6,461
2020-08-13,36,1,23,8,41,5,Thursday,21.8,462
2020-08-16,23,28,11,35,18,18,Sunday,23.0,463
2020-08-20,13,32,41,5,23,4,Thursday,22.8,464
2020-08-23,30,3,41,7,18,14,Sunday,19.8,465
2020-08-27,26,20,19,16,44,12,Thursday,25.0,466
2020-08-30,11,25,13,9,31,1,Sunday,17.8,467
2020-09-03,13,17,38,25,2,1,Thursday,19.0,468
2020-09-06,10,34,23,32,8,4,Sunday,21.4,469
2020-09-10,25,4,5,3,10,11,Thursday,9.4,470
2020-09-13,42,32,41,18,22,6,Sunday,31.0,471
2020-09-13,11,7,41,3,22,18,Sunday,16.8,472
2020-09-17,33,2,28,30,5,12,Thursday,19.6,473
2020-09-20,6,39,28,9,25,2,Sunday,21.4,474
2020-09-24,18,1,35,44,22,16,Thursday,24.0,475
2020-09-27,4,22,21,6,18,2,Sunday,14.2,476
2020-10-01,9,41,14,3,45,11,Thursday,22.4,477
2020-10-04,30,23,1,41,31,4,Sunday,25.2,478
2020-10-08,3,35,12,44,38,13,Thursday,26.4,479
2020-10-11,22,45,37,23,7,18,Sunday,26.8,480
2020-10-15,25,15,31,3,2,18,Thursday,15.2,481
2020-10-18,31,16,15,32,38,7,Sunday,26.4,482
2020-10-22,29,43,42,34,8,13,Thursday,31.2,483
2020-10-25,44,9,14,13,16,8,Sunday,19.2,484
2020-10-29,32,7,5,29,14,14,Thursday,17.4,485
2020-11-01,24,10,11,4,43,20,Sunday,18.4,486
2020-11-05,8,22,34,2,5,6,Thursday,14.2,487
2020-11-08,19,15,20,21,1,20,Sunday,15.2,488
2020-11-12,29,28,21,9,3,10,Thursday,18.0,489
2020-11-15,1,2,30,33,9,17,Sunday,15.0,490
2020-11-19,44,9,6,32,10,16,Thursday,20.2,491
2020-11-22,38,28,2,6,25,1,Sunday,19.8,492
2020-11-26,10,24,37,30,28,1,Thursday,25.8,493
2020-11-29,25,14,6,32,20,19,Sunday,19.4,494
2020-12-03,33,25,44,17,28,1,Thursday,29.4,495
2020-12-06,21,17,39,26,44,19,Sunday,29.4,496
2020-12-06,30,15,34,42,8,20,Sunday,25.8,497
2020-12-10,11,43,16,32,38,9,Thursday,28.0,498
2020-12-13,38,8,15,27,34,11,Sunday,24.4,499
2020-12-17,2,19,42,11,39,12,Thursday,22.6,500
2020-12-20,35,42,2,28,30,6,Sunday,27.4,501
2020-12-24,33,44,20,12,17,10,Thursday,25.2,502
2020-12-31,18,21,13,23,36,17,Thursday,22.2,503
2020-12-31,19,45,10,11,42,6,Thursday,25.4,504
2021-01-03,17,21,33,27,10,16,Sunday,21.6,505
2021-01-07,21,6,29,14,19,18,Thursday,17.8,506
2021-01-10,10,36,14,38,39,11,Sunday,27.4,507
2021-01-14,12,10,11,27,36,19,Thursday,19.2,508
2021-01-17,32,6,29,45,8,2,Sunday,24.0,509
2021-01-21,41,25,13,8,31,13,Thursday,23.6,510
2021-01-24,40,35,23,19,28,19,Sunday,29.0,511
2021-01-28,24,12,21,4,7,19,Thursday,13.6,512
2021-01-31,5,45,44,1,4,9,Sunday,19.8,513
2021-02-04,18,10,16,26,3,19,Thursday,14.6,514
2021-02-07,15,40,20,41,3,11,Sunday,23.8,515
2021-02-11,16,25,11,38,36,12,Thursday,25.2,516
2021-02-14,13,25,11,44,18,17,Sunday,22.2,517
2021-02-18,6,5,8,12,3,4,Thursday,6.8,518
2021-02-21,12,22,18,26,31,4,Sunday,21.8,519
2021-02-25,2,44,8,40,30,19,Thursday,24.8,520
2021-03-07,14,18,1,31,24,2,Sunday,17.6,521
2021-03-07,19,22,42,36,34,20,Sunday,30.6,522
2021-03-11,45,16,4,18,1,5,Thursday,16.8,523
2021-03-14,31,13,21,33,16,17,Sunday,22.8,524
2021-03-18,13,33,23,6,20,8,Thursday,19.0,525
2021-03-21,34,9,45,5,31,10,Sunday,24.8,526
2021-03-25,12,27,29,16,23,9,Thursday,21.4,527
2021-03-28,6,21,45,36,24,7,Sunday,26.4,528
2021-04-01,2,3,23,25,10,1,Thursday,12.6,529
2021-04-04,3,24,22,21,38,10,Sunday,21.6,530
2021-04-08,39,33,4,40,36,7,Thursday,30.4,531
2021-04-11,6,4,24,45,33,8,Sunday,22.4,532
2021-04-15,20,28,32,33,27,4,Thursday,28.0,533
2021-04-18,2,1,10,25,14,3,Sunday,10.4,534
2021-04-22,9,44,41,1,12,2,Thursday,21.4,535
2021-04-25,1,23,15,18,26,17,Sunday,16.6,536
2021-05-01,3,5,20,9,41,13,Saturday,15.6,537
2021-05-01,4,9,43,1,36,4,Saturday,18.6,538
2021-05-06,13,40,5,16,7,3,Thursday,16.2,539
2021-05-09,5,29,38,14,23,9,Sunday,21.8,540
2021-05-13,39,36,45,21,15,19,Thursday,31.2,541
2021-05-16,36,7,8,25,13,1,Sunday,17.8,542
2021-05-20,2,33,27,9,31,1,Thursday,20.4,543
2021-05-23,12,42,31,33,34,12,Sunday,30.4,544
2021-05-27,28,24,27,7,39,10,Thursday,25.0,545
2021-05-30,40,37,42,31,21,16,Sunday,34.2,546
2021-06-03,45,10,14,11,37,7,Thursday,23.4,547
2021-06-06,45,38,40,8,32,10,Sunday,32.6,548
2021-06-10,24,26,40,29,1,14,Thursday,24.0,549
2021-06-13,19,34,18,31,6,18,Sunday,21.6,550
2021-06-17,30,24,16,17,22,19,Thursday,21.8,551
2021-06-20,30,36,21,25,42,1,Sunday,30.8,552
2021-06-24,26,6,39,9,33,5,Thursday,22.6,553
2021-06-27,36,14,40,28,13,4,Sunday,26.2,554
2021-07-01,17,8,43,20,29,14,Thursday,23.4,555
2021-07-04,6,31,25,18,11,3,Sunday,18.2,556
2021-07-08,24,3,29,43,15,6,Thursday,22.8,557
2021-07-11,4,9,30,35,33,13,Sunday,22.2,558
2021-07-15,4,7,38,3,24,12,Thursday,15.2,559
2021-07-18,31,43,1,4,16,7,Sunday,19.0,560
2021-07-22,24,42,20,30,25,14,Thursday,28.2,561
2021-07-25,32,33,14,8,29,20,Sunday,23.2,562
2021-07-29,21,1,34,3,43,10,Thursday,20.4,563
2021-08-01,15,42,26,45,1,13,Sunday,25.8,564
2021-08-05,1,24,26,28,27,7,Thursday,21.2,565
2021-08-08,12,23,19,15,3,13,Sunday,14.4,566
2021-08-12,28,6,11,21,40,18,Thursday,21.2,567
2021-08-15,33,10,31,18,28,8,Sunday,24.0,568
2021-08-19,13,17,25,23,16,8,Thursday,18.8,569
2021-08-22,28,31,32,9,27,19,Sunday,25.4,570
2021-08-26,37,21,6,5,29,18,Thursday,19.6,571
2021-08-29,43,21,32,6,5,19,Sunday,21.4,572
2021-09-02,29,43,1,28,36,3,Thursday,27.4,573
2021-09-05,38,4,21,26,15,3,Sunday,20.8,574
2021-09-09,12,45,36,11,44,6,Thursday,29.6,575
2021-09-12,11,3,21,30,2,15,Sunday,13.4,576
2021-09-12,14,38,40,3,28,10,Sunday,24.6,577
2021-09-16,31,7,34,25,29,2,Thursday,25.2,578
2021-09-19,23,3,38,7,15,19,Sunday,17.2,579
2021-09-23,8,15,13,28,23,4,Thursday,17.4,580
2021-09-26,16,3,2,43,6,20,Sunday,14.0,581
2021-09-30,31,35,5,6,9,2,Thursday,17.2,582
2021-10-03,4,44,41,37,9,10,Sunday,27.0,583
2021-10-07,35,8,32,25,26,2,Thursday,25.2,584
2021-10-10,19,40,2,23,12,16,Sunday,19.2,585
2021-10-14,25,35,45,40,8,19,Thursday,30.6,586
2021-10-17,20,32,33,5,31,4,Sunday,24.2,587
2021-10-21,2,19,18,27,39,20,Thursday,21.0,588
2021-10-24,6,45,23,22,17,13,Sunday,22.6,589
2021-10-28,21,35,17,20,27,17,Thursday,24.0,590
2021-10-31,28,27,1,24,10,12,Sunday,18.0,591
2021-11-04,6,40,5,39,25,4,Thursday,23.0,592
2021-11-07,14,42,13,40,3,8,Sunday,22.4,593
2021-11-11,36,19,25,11,23,2,Thursday,22.8,594
2021-11-14,3,20,23,5,14,17,Sunday,13.0,595
2021-11-18,36,28,35,17,32,12,Thursday,29.6,596
2021-11-21,28,43,11,32,18,10,Sunday,26.4,597
2021-11-25,17,10,19,15,8,7,Thursday,13.8,598
2021-11-28,31,11,17,16,2,6,Sunday,15.4,599
2021-12-05,8,5,30,36,17,13,Sunday,19.2,600
2021-12-05,25,43,11,33,20,15,Sunday,26.4,601
2021-12-09,39,12,28,35,5,2,Thursday,23.8,602
2021-12-12,45,31,14,6,4,16,Sunday,20.0,603
2021-12-16,14,22,15,38,17,17,Thursday,21.2,604
2021-12-19,8,21,27,44,3,7,Sunday,20.6,605
2021-12-24,15,16,36,5,29,20,Friday,20.2,606
2021-12-31,42,37,17,28,18,2,Friday,28.4,607
2021-12-31,14,18,35,19,25,16,Friday,22.2,608
2022-01-06,41,28,16,39,20,1,Thursday,28.8,609
2022-01-09,33,16,23,32,22,2,Sunday,25.2,610
2022-01-13,3,36,19,18,1,19,Thursday,15.4,611
2022-01-16,45,6,10,8,29,6,Sunday,19.6,612
2022-01-20,30,15,2,35,29,10,Thursday,22.2,613
2022-01-23,35,1,45,24,23,2,Sunday,25.6,614
2022-01-27,10,21,43,15,20,11,Thursday,21.8,615
2022-01-30,43,3,5,18,31,11,Sunday,20.0,616
